,Clearsky DHI,Clearsky DNI,Clearsky GHI,Solar Zenith Angle,Precipitable Water
526,0,0,0,92.6,1.686
527,0,0,0,98.5,1.668
528,0,0,0,104.54,1.651
529,0,0,0,110.69,1.601
530,0,0,0,116.92,1.5519999999999998
531,0,0,0,123.22,1.435
532,0,0,0,129.57,1.318
533,0,0,0,135.94,1.1740000000000002
534,0,0,0,142.29,1.03
535,0,0,0,148.6,0.915
536,0,0,0,154.77,0.8
537,0,0,0,160.67,0.73
538,0,0,0,165.88,0.66
539,0,0,0,169.32,0.607
540,0,0,0,169.14,0.5539999999999999
541,0,0,0,165.47,0.518
542,0,0,0,160.17,0.483
543,0,0,0,154.25,0.469
544,0,0,0,148.05,0.456
545,0,0,0,141.74,0.454
546,0,0,0,135.38,0.452
547,0,0,0,129.01,0.451
548,0,0,0,122.66,0.45
549,0,0,0,116.36,0.447
550,0,0,0,110.13,0.444
551,0,0,0,103.98,0.441
552,0,0,0,97.95,0.438
553,0,0,0,92.06,0.439
554,23,352,46,86.34,0.441
555,43,592,137,80.84,0.451
556,54,731,236,75.62,0.462
557,63,813,332,70.73,0.481
558,69,869,419,66.25,0.5
559,74,906,496,62.27,0.526
560,78,929,558,58.9,0.5529999999999999
561,81,945,606,56.24,0.5820000000000001
562,84,950,637,54.41,0.612
563,85,954,653,53.48,0.642
564,87,947,650,53.52,0.672
565,86,940,632,54.5,0.6990000000000001
566,86,921,596,56.39,0.726
567,83,900,545,59.1,0.7440000000000001
568,80,865,480,62.51,0.762
569,75,823,402,66.53,0.767
570,69,753,314,71.04,0.772
571,59,663,220,75.95,0.7709999999999999
572,45,507,123,81.2,0.77
573,22,261,37,86.71,0.773
574,0,0,0,92.44,0.777
575,0,0,0,98.34,0.7809999999999999
576,0,0,0,104.38,0.785
577,0,0,0,110.53,0.784
578,0,0,0,116.77,0.784
579,0,0,0,123.07,0.7929999999999999
580,0,0,0,129.42,0.802
581,0,0,0,135.79,0.8270000000000001
582,0,0,0,142.14,0.853
583,0,0,0,148.44,0.888
584,0,0,0,154.62,0.923
585,0,0,0,160.5,0.966
586,0,0,0,165.69,1.01
587,0,0,0,169.13,1.068
588,0,0,0,169.01,1.127
589,0,0,0,165.41,1.205
590,0,0,0,160.15,1.284
591,0,0,0,154.24,1.368
592,0,0,0,148.06,1.453
593,0,0,0,141.75,1.517
594,0,0,0,135.39,1.581
595,0,0,0,129.02,1.611
596,0,0,0,122.67,1.641
597,0,0,0,116.37,1.615
598,0,0,0,110.13,1.589
599,0,0,0,103.97,1.53
600,0,0,0,97.93,1.471
601,0,0,0,92.03,1.405
602,27,159,37,86.31,1.339
603,58,380,118,80.8,1.265
604,76,545,212,75.57,1.1909999999999998
605,91,644,304,70.66,1.122
606,95,737,393,66.17,1.053
607,103,786,470,62.17,0.988
608,101,843,538,58.78,0.924
609,105,866,588,56.11,0.8759999999999999
610,102,893,624,54.26,0.828
611,103,900,642,53.32,0.805
612,97,916,645,53.34,0.7829999999999999
613,96,910,627,54.32,0.784
614,86,917,597,56.2,0.7859999999999999
615,83,896,546,58.9,0.8079999999999999
616,75,877,483,62.32,0.8320000000000001
617,70,835,405,66.34,0.857
618,64,769,317,70.85,0.882
619,55,681,222,75.77,0.895
620,42,529,125,81.02,0.908
621,21,290,39,86.53,0.919
622,0,0,0,92.27,0.931
623,0,0,0,98.17,0.941
624,0,0,0,104.22,0.951
625,0,0,0,110.38,0.951
626,0,0,0,116.62,0.951
627,0,0,0,122.92,0.942
628,0,0,0,129.27,0.933
629,0,0,0,135.64,0.888
630,0,0,0,141.99,0.8440000000000001
631,0,0,0,148.29,0.784
632,0,0,0,154.45,0.7240000000000001
633,0,0,0,160.33,0.6709999999999999
634,0,0,0,165.5,0.618
635,0,0,0,168.94,0.568
636,0,0,0,168.87,0.518
637,0,0,0,165.33,0.472
638,0,0,0,160.11,0.426
639,0,0,0,154.23,0.385
640,0,0,0,148.05,0.345
641,0,0,0,141.75,0.316
642,0,0,0,135.39,0.289
643,0,0,0,129.02,0.278
644,0,0,0,122.67,0.267
645,0,0,0,116.36,0.264
646,0,0,0,110.12,0.262
647,0,0,0,103.96,0.26
648,0,0,0,97.91,0.259
649,0,0,0,92.01,0.265
650,21,436,50,86.27,0.271
651,38,665,145,80.76,0.279
652,47,797,246,75.51,0.287
653,54,872,344,70.59,0.299
654,58,926,433,66.08,0.311
655,61,960,511,62.07,0.325
656,63,983,575,58.66,0.34
657,65,999,624,55.97,0.355
658,67,1007,657,54.1,0.37
659,68,1010,673,53.15,0.389
660,70,1004,672,53.15,0.408
661,69,997,653,54.12,0.433
662,68,982,618,56.0,0.459
663,66,963,566,58.71,0.488
664,63,934,500,62.13,0.517
665,59,895,421,66.15,0.544
666,54,839,332,70.66,0.5710000000000001
667,47,757,235,75.59,0.595
668,36,627,136,80.84,0.62
669,20,395,45,86.36,0.645
670,0,0,0,92.1,0.67
671,0,0,0,98.01,0.693
672,0,0,0,104.06,0.7170000000000001
673,0,0,0,110.22,0.732
674,0,0,0,116.46,0.748
675,0,0,0,122.77,0.755
676,0,0,0,129.12,0.763
677,0,0,0,135.49,0.764
678,0,0,0,141.84,0.7659999999999999
679,0,0,0,148.13,0.7609999999999999
680,0,0,0,154.29,0.757
681,0,0,0,160.15,0.7509999999999999
682,0,0,0,165.31,0.745
683,0,0,0,168.74,0.7440000000000001
684,0,0,0,168.72,0.743
685,0,0,0,165.25,0.752
686,0,0,0,160.07,0.7609999999999999
687,0,0,0,154.21,0.779
688,0,0,0,148.05,0.797
689,0,0,0,141.75,0.82
690,0,0,0,135.39,0.843
691,0,0,0,129.02,0.868
692,0,0,0,122.67,0.894
693,0,0,0,116.36,0.917
694,0,0,0,110.11,0.94
695,0,0,0,103.94,0.955
696,0,0,0,97.89,0.97
697,0,0,0,91.97,0.976
698,22,328,44,86.23,0.983
699,41,559,132,80.7,0.986
700,54,692,228,75.44,0.99
701,63,776,322,70.51,1.004
702,69,833,408,65.98,1.018
703,74,872,484,61.95,1.039
704,78,899,547,58.53,1.06
705,81,917,596,55.82,1.074
706,83,928,629,53.94,1.088
707,84,933,646,52.97,1.095
708,88,922,644,52.96,1.103
709,87,916,627,53.93,1.112
710,85,905,594,55.8,1.122
711,82,885,545,58.51,1.128
712,77,861,482,61.92,1.134
713,72,821,407,65.95,1.123
714,65,767,321,70.47,1.112
715,55,683,227,75.4,1.087
716,41,561,133,80.66,1.063
717,23,330,45,86.19,1.04
718,0,0,0,91.93,1.016
719,0,0,0,97.84,0.997
720,0,0,0,103.9,0.978
721,0,0,0,110.06,0.964
722,0,0,0,116.31,0.951
723,0,0,0,122.62,0.937
724,0,0,0,128.97,0.924
725,0,0,0,135.34,0.913
726,0,0,0,141.69,0.902
727,0,0,0,147.98,0.889
728,0,0,0,154.13,0.8759999999999999
729,0,0,0,159.97,0.858
730,0,0,0,165.12,0.841
731,0,0,0,168.54,0.823
732,0,0,0,168.56,0.8059999999999999
733,0,0,0,165.16,0.787
734,0,0,0,160.03,0.768
735,0,0,0,154.18,0.7509999999999999
736,0,0,0,148.03,0.7340000000000001
737,0,0,0,141.74,0.722
738,0,0,0,135.39,0.71
739,0,0,0,129.02,0.705
740,0,0,0,122.66,0.7
741,0,0,0,116.35,0.698
742,0,0,0,110.09,0.6970000000000001
743,0,0,0,103.92,0.6920000000000001
744,0,0,0,97.86,0.688
745,0,0,0,91.94,0.6829999999999999
746,23,351,46,86.18,0.6779999999999999
747,41,586,136,80.64,0.6729999999999999
748,52,728,236,75.37,0.6679999999999999
749,60,810,332,70.42,0.664
750,64,874,421,65.88,0.6609999999999999
751,69,912,499,61.84,0.6579999999999999
752,72,939,564,58.39,0.6559999999999999
753,74,957,614,55.67,0.654
754,76,966,648,53.77,0.652
755,77,972,665,52.78,0.652
756,79,968,665,52.77,0.652
757,78,962,648,53.72,0.657
758,78,948,613,55.6,0.6629999999999999
759,75,930,564,58.3,0.6609999999999999
760,72,903,500,61.72,0.659
761,67,866,423,65.75,0.645
762,60,816,335,70.28,0.632
763,52,735,239,75.21,0.633
764,40,613,141,80.48,0.634
765,22,387,49,86.01,0.654
766,0,0,0,91.76,0.674
767,0,0,0,97.68,0.6809999999999999
768,0,0,0,103.73,0.69
769,0,0,0,109.9,0.679
770,0,0,0,116.15,0.669
771,0,0,0,122.47,0.6679999999999999
772,0,0,0,128.82,0.6679999999999999
773,0,0,0,135.18,0.669
774,0,0,0,141.53,0.67
775,0,0,0,147.82,0.6679999999999999
776,0,0,0,153.96,0.667
777,0,0,0,159.79,0.665
778,0,0,0,164.92,0.6629999999999999
779,0,0,0,168.33,0.6659999999999999
780,0,0,0,168.39,0.67
781,0,0,0,165.06,0.677
782,0,0,0,159.97,0.684
783,0,0,0,154.15,0.6920000000000001
784,0,0,0,148.01,0.701
785,0,0,0,141.73,0.715
786,0,0,0,135.38,0.73
787,0,0,0,129.01,0.7490000000000001
788,0,0,0,122.65,0.768
789,0,0,0,116.33,0.7829999999999999
790,0,0,0,110.07,0.799
791,0,0,0,103.89,0.805
792,0,0,0,97.82,0.812
793,0,0,0,91.89,0.809
794,23,338,46,86.13,0.807
795,42,570,135,80.58,0.799
796,54,706,234,75.29,0.7909999999999999
797,63,790,329,70.33,0.794
798,70,846,417,65.77,0.797
799,75,885,494,61.71,0.8170000000000001
800,80,908,558,58.25,0.838
801,83,926,607,55.51,0.86
802,86,931,639,53.59,0.883
803,87,937,657,52.59,0.9
804,92,925,654,52.57,0.917
805,91,918,637,53.51,0.934
806,91,901,603,55.38,0.952
807,88,881,554,58.09,0.975
808,84,848,489,61.51,0.998
809,79,806,413,65.54,1.02
810,74,732,324,70.08,1.042
811,63,644,230,75.02,1.0659999999999998
812,48,510,134,80.29,1.09
813,26,285,47,85.83,1.125
814,0,0,0,91.58,1.16
815,0,0,0,97.51,1.199
816,0,0,0,103.57,1.239
817,0,0,0,109.74,1.27
818,0,0,0,116.0,1.3019999999999998
819,0,0,0,122.31,1.325
820,0,0,0,128.66,1.349
821,0,0,0,135.03,1.3769999999999998
822,0,0,0,141.38,1.406
823,0,0,0,147.66,1.439
824,0,0,0,153.79,1.472
825,0,0,0,159.61,1.5019999999999998
826,0,0,0,164.72,1.5319999999999998
827,0,0,0,168.12,1.5619999999999998
828,0,0,0,168.22,1.5930000000000002
